Artist,Genre,Track,MFCC,Spectral Centroid,Zero-Crossing Rate
The Cynics,Garage,(Full Set),"[-238.66880798339844, 96.44364929199219, -37.55147933959961, 60.7328987121582, -30.090530395507812, 10.456158638000488, -9.610452651977539, 7.854838848114014, -14.911149024963379, 0.0340396985411644, -11.257659912109375, -4.585841655731201, -10.445302963256836, -5.606317520141602, -3.603825092315674, -2.4088637828826904, -1.3414350748062134, -4.945366382598877, -9.565301895141602, -9.938652038574219]",4256.473088573624,0.12404650888361735
Psychedelic Horseshit,Rock,Rather Dull,"[-256.4283447265625, 192.52174377441406, -34.8646240234375, 23.503829956054688, 13.428901672363281, 11.508142471313477, -10.70663833618164, -4.1394147872924805, -1.1797407865524292, -1.3714640140533447, 0.08060126006603241, 3.8724122047424316, 0.09385322779417038, 1.8171130418777466, 2.647444009780884, 0.1797216832637787, -2.835897922515869, -1.840226411819458, 3.1083078384399414, -1.609459638595581]",1718.1631143509528,0.04873632434719536
The Conet Project,Numbers Stations,frank young peter,"[-259.2108459472656, 212.31361389160156, -35.42970657348633, -33.558589935302734, 0.13821925222873688, 16.532611846923828, 9.282881736755371, -8.85966968536377, -8.887750625610352, -11.222307205200195, -12.483366966247559, -14.997122764587402, -12.097940444946289, -9.71920394897461, -16.83668327331543, -21.997135162353516, -20.22545623779297, -11.564156532287598, -6.559653282165527, -9.026308059692383]",1108.3788697616535,0.020716158426015475
Voice Or No Voice,Hardcore,Election Day Sham,"[-174.13706970214844, 171.2325439453125, -42.6673583984375, 31.071352005004883, 2.936394691467285, 21.219968795776367, -1.2143166065216064, 9.725385665893555, 8.33173942565918, 8.830784797668457, -0.5562735795974731, 1.8092998266220093, 8.904818534851074, 2.8462843894958496, 1.554228663444519, -2.962071180343628, -0.484596848487854, -2.1971123218536377, -0.34753745794296265, -4.5868401527404785]",1932.7839020035995,0.039666759852514506
Harvey Milk,Rock,War,"[-99.83007049560547, 148.78848266601562, -22.12224578857422, 42.877464294433594, -4.977025985717773, 16.571317672729492, -9.76274299621582, 13.559370994567871, -3.6898722648620605, 13.207010269165039, -4.895589351654053, 7.019063949584961, -3.47588849067688, 8.062421798706055, -1.2465885877609253, 2.086427688598633, -4.721106052398682, 1.4284496307373047, -3.6626622676849365, 1.904268503189087]",2823.221122860832,0.053414224377904725
Nightingales,Post-Punk,The Lodger,"[-146.60614013671875, 180.83590698242188, -64.6048812866211, 34.91030502319336, 5.554349899291992, 14.632438659667969, -14.827831268310547, -5.367207050323486, 9.222158432006836, -8.531386375427246, -3.761701822280884, -4.9014058113098145, -0.42452290654182434, -3.438171625137329, -2.8194820880889893, -2.3337676525115967, -6.81449556350708, 0.5025568008422852, -1.8077994585037231, -8.319835662841797]",2106.668981380315,0.06355088261280016
The Conet Project,Numbers Stations,high pitch polytone,"[-298.7981872558594, 192.94686889648438, -30.48666000366211, -35.29154968261719, 12.541593551635742, -0.8043089509010315, -6.591691970825195, 2.3419668674468994, -2.4858763217926025, -10.411678314208984, -12.458480834960938, -14.87753677368164, -20.556209564208984, -17.166488647460938, -5.54708194732666, -1.7585136890411377, -5.905638694763184, -8.789653778076172, -6.787178039550781, -0.7931652665138245]",1055.529354037798,0.02153726426499033
The Conet Project,Numbers Stations,voice rapid dots irdial,"[-235.2366485595703, 198.2926483154297, -16.446367263793945, -10.863105773925781, 17.447723388671875, 7.360724449157715, 16.096641540527344, 8.98900318145752, 1.05716872215271, 0.6448808908462524, -9.727131843566895, -2.387829065322876, 8.434995651245117, 3.0125138759613037, -0.03218311816453934, -8.189131736755371, -13.641746520996094, -1.6424611806869507, -0.701939046382904, -5.216558933258057]",1256.1862358138142,0.0383994952852998
Roxy Pain,Rock,Black Metal,"[-78.39002990722656, 125.60304260253906, -19.508455276489258, 10.822342872619629, -3.1051394939422607, 34.603355407714844, 0.8483971953392029, 9.730167388916016, -8.426833152770996, 10.037886619567871, -7.224899768829346, 5.098865032196045, -0.8323663473129272, -0.19317054748535156, -9.644998550415039, -0.43651852011680603, -3.9125826358795166, 3.898042678833008, -5.030292510986328, 0.5121691226959229]",3531.010260185062,0.06659384682416732
Pistolera,Latin America,No te Olvidare,"[-147.81324768066406, 150.08258056640625, -23.139497756958008, 59.8509635925293, -13.964154243469238, 24.832256317138672, -13.963249206542969, 13.476946830749512, -8.961074829101562, 7.399434566497803, -4.200063705444336, -1.774566888809204, -5.781462669372559, -3.6338863372802734, -5.1420817375183105, -6.951974391937256, -0.20691721141338348, -4.384573936462402, -3.232311487197876, -10.59504222869873]",2608.8495515882723,0.04772788475503486
Twi the Humble Feather,Folk,Interview 1,"[-411.05572509765625, 145.91468811035156, 6.4649505615234375, 46.75461959838867, 19.330524444580078, 24.432973861694336, 12.300402641296387, -5.4213128089904785, 8.736787796020508, -1.1695032119750977, -4.3945231437683105, 5.781162261962891, -0.8285828232765198, 2.0029168128967285, 2.663726329803467, 3.23099946975708, 1.9934759140014648, -0.4144415259361267, 3.202842950820923, -0.020770864561200142]",1691.464269108999,0.030832634888168085
The Conet Project,Numbers Stations,strich english,"[-273.11651611328125, 211.43283081054688, -23.329479217529297, -51.8159065246582, -15.346845626831055, 17.299489974975586, 22.61130142211914, -14.947310447692871, -23.53667640686035, 5.929975986480713, 6.487487316131592, -23.576148986816406, -21.522470474243164, 9.86382007598877, 9.625261306762695, -14.38888931274414, -12.954702377319336, 5.729069709777832, 6.762272834777832, -7.552097797393799]",1724.3142872516712,0.08458708552003817
The Conet Project,Numbers Stations,723 papaqui,"[-300.45330810546875, 185.5939483642578, -10.373063087463379, -21.35231590270996, 20.67154312133789, 13.616975784301758, 0.4062682092189789, -5.3748884201049805, 0.5828989744186401, 10.861286163330078, 2.0372679233551025, -6.594851493835449, 1.730858325958252, 7.617170333862305, 3.614530086517334, -0.7915729284286499, -0.2681623697280884, 3.228013277053833, 3.473116159439087, 0.9793235063552856]",1340.5686408306794,0.04873035528417893
Urinals,Interview,Interview,"[-343.55328369140625, 138.7916717529297, -9.212876319885254, 20.21492576599121, 10.163362503051758, 18.50377082824707, -1.7883806228637695, -5.201492786407471, 4.025209903717041, -12.894842147827148, -7.20582389831543, 4.04898738861084, -0.5801195502281189, -6.095287799835205, 0.8903360962867737, 3.7422752380371094, -1.8779950141906738, 1.9993970394134521, 3.4099061489105225, 0.9062867164611816]",2092.6227357287053,0.04653613092359768
Negative Approach,Hardcore,Solitary Confinement,"[-91.29682922363281, 119.1014633178711, -13.899330139160156, 22.18074607849121, -1.3994896411895752, 12.088001251220703, -8.589274406433105, 3.602900505065918, -3.926912307739258, 4.600135326385498, -4.617568016052246, 0.39712730050086975, -0.48072749376296997, 4.755591869354248, -2.6623950004577637, -0.3948327302932739, -4.077941417694092, 0.9151074290275574, 0.7130494713783264, 0.5194000005722046]",3720.4243979373655,0.07755606262088975
The Tokeleys,Punk,Roman War Heroes,"[-172.24627685546875, 137.0385284423828, -58.46404266357422, 57.3509407043457, -8.81103515625, 30.828372955322266, -6.851910591125488, 17.672561645507812, -10.104243278503418, 11.164238929748535, 2.6250388622283936, 6.8397393226623535, 2.2322006225585938, 1.2190563678741455, 0.45958414673805237, -0.8279605507850647, -0.0752202719449997, 3.0887084007263184, -2.6980440616607666, -2.238222360610962]",3106.827018970258,0.08368236680625483
Twi the Humble Feather,Folk,Title Unknown,"[-456.2370300292969, 221.9689178466797, 31.191267013549805, -1.9494448900222778, 13.296222686767578, 5.50621223449707, 1.8002012968063354, 3.597020149230957, 3.022550106048584, 0.752953052520752, -1.5891975164413452, -1.9038275480270386, -0.46430137753486633, 0.53007972240448, -0.4667742848396301, -1.8155232667922974, -2.755887746810913, -2.6581029891967773, -3.454430341720581, -5.07457971572876]",787.7284895224504,0.01627629381293571
Parts &amp; Labor,Rock,New Crimes,"[-123.96975708007812, 127.2243423461914, -35.66626739501953, 36.00008010864258, 13.23290729522705, 28.181285858154297, -2.196509838104248, 11.514211654663086, 2.7867274284362793, 8.8526611328125, 0.059990253299474716, 11.270780563354492, 7.872437000274658, 9.775842666625977, -3.6168212890625, 1.0986566543579102, -5.676055431365967, -0.008683893829584122, -5.282796859741211, -0.09623996168375015]",2887.582247928288,0.04974360506632455
Low,Indie-Rock,Hatchet,"[-199.45285034179688, 164.17103576660156, -5.947291374206543, 41.48518753051758, -2.575364589691162, 13.527810096740723, -11.988316535949707, 10.753035545349121, -8.735823631286621, 7.883678436279297, -1.5849002599716187, -0.7275483012199402, -2.0762939453125, -2.0010552406311035, 1.9846985340118408, -2.2757506370544434, -0.3899671137332916, -3.7589516639709473, -0.1901557445526123, -2.7575833797454834]",2031.3169060724204,0.0325989195028079
Sounds of Taraab,Ethnic,Unalo,"[-273.4056091308594, 115.29291534423828, -50.86393737792969, 61.15158462524414, -27.12710952758789, 17.41733169555664, -5.5347700119018555, 5.913640975952148, -9.928924560546875, 2.5208170413970947, -6.063686370849609, -1.3319995403289795, -6.505908489227295, -12.793039321899414, -8.72059440612793, -10.04659652709961, -5.873263359069824, -9.298930168151855, -6.51020622253418, -7.773124694824219]",3672.258961192184,0.09072341181092844
The Pets,Pop-Punk,Misdirection,"[-131.4988555908203, 133.9264678955078, -64.14722442626953, 37.05998992919922, -6.65731954574585, 24.86063003540039, -12.398289680480957, 5.966434001922607, 0.9167636632919312, 4.9356160163879395, -4.638447284698486, 4.1084818840026855, -2.812830924987793, -1.522493839263916, -4.066560745239258, -1.9366081953048706, -6.826104640960693, -7.036411762237549, -5.398748397827148, -4.5419745445251465]",3140.28727834506,0.0875479582203718
Killdozer,Rock,Live at WFMU - full set,"[-373.7704162597656, 128.7029266357422, -7.201571464538574, 29.32390022277832, 13.15292739868164, 13.25751781463623, 2.9946956634521484, 2.009331226348877, 2.246091365814209, -2.307176351547241, 1.833147644996643, -0.41820043325424194, -1.313590407371521, 1.4065216779708862, -0.3357399106025696, -1.0459868907928467, -2.404200315475464, -1.5791616439819336, -3.4125146865844727, -2.448474168777466]",2332.2518309533843,0.04313950676982592
The Spunk Lads,Punk,Sexxx Maddd,"[-120.05303192138672, 132.43077087402344, -36.0716552734375, 29.656213760375977, 8.884248733520508, 15.593631744384766, -15.981996536254883, -0.35472214221954346, -1.6918020248413086, 1.186299204826355, -10.359375953674316, 4.535172462463379, -0.4803116023540497, -0.27073994278907776, -1.4693523645401, -0.0062203616835176945, -7.500429630279541, -1.2413707971572876, -2.057631492614746, -3.207914352416992]",2995.106045958398,0.06777918643493416
Silver Jews,,Trains Across The Sea,"[-200.61451721191406, 193.6947479248047, -11.7410888671875, 27.348241806030273, 13.663496017456055, 14.512365341186523, -3.0122835636138916, 2.1565024852752686, 5.30588960647583, 3.1784377098083496, 0.2008860856294632, 0.2834063768386841, -2.971883773803711, -0.6444900035858154, 1.5819414854049683, -0.9920784831047058, -3.420632839202881, -0.37075361609458923, 0.3314797878265381, -2.2803304195404053]",1413.0981791042752,0.02654795545212766
The Snow,Indie,The Russians,"[-277.8050537109375, 152.42037963867188, -1.1672478914260864, 42.27431869506836, 0.5137823820114136, 16.213335037231445, -3.4672696590423584, 4.573573589324951, -4.298892498016357, 0.19812899827957153, -0.5563178658485413, -2.0714735984802246, -1.3734068870544434, 0.19321058690547943, -2.361118793487549, -7.936553478240967, -6.06730318069458, -2.417135238647461, -2.1543376445770264, -7.776646137237549]",1970.5701260520289,0.033364624685321455
Smokey Hormel,Americana,Goofus,"[-301.4021911621094, 152.65162658691406, -3.380002498626709, 27.640371322631836, 10.096900939941406, 10.270276069641113, 2.362290620803833, 0.12491896748542786, -5.386268615722656, -1.3778464794158936, 0.946101188659668, -1.97993004322052, 0.4877532422542572, 2.0789055824279785, -2.458569288253784, 0.8330034613609314, -0.812963604927063, -0.3520244061946869, 2.022326707839966, 2.4062883853912354]",1859.9434599444573,0.028673348343810443
The Conet Project,Numbers Stations,2 yt,"[-263.5186462402344, 202.1831817626953, -20.31385040283203, -7.595432281494141, 36.0108642578125, -2.247295379638672, -12.907575607299805, -1.9540213346481323, -5.1468892097473145, 2.366696834564209, 2.0844151973724365, -10.679795265197754, -6.171875953674316, -1.4514234066009521, -8.180853843688965, -2.4187726974487305, 3.9936537742614746, -5.195968151092529, -7.940134048461914, -3.4189612865448]",1238.34148291676,0.03907762877614253
Voice Or No Voice,Hardcore,Pushed On,"[-186.0165557861328, 185.2694549560547, -48.13996124267578, 26.80438804626465, 10.925593376159668, 14.190789222717285, 5.5806989669799805, 5.459107875823975, 13.76480484008789, 7.115262985229492, 2.440023183822632, 2.960174560546875, 9.079384803771973, 7.10850191116333, 2.2835638523101807, 0.4577181339263916, 1.7533937692642212, 0.6156585216522217, 0.7631241679191589, -2.2751569747924805]",1749.3574202976054,0.03916991431061193
